Number	Name	Location	SubGroup	Latitude	Longitude	Glottocode	ISO639P3code
1	AbasoloValleMixtec	Abasolo del Valle	Mixtec	17.78287	-95.54381	mixt1425	mix
2	SantaMariaAcatepecMixtec	Santa María Acatepec	Mixtec	16.76337	-97.98945	sant1441	mtu
3	SanMiguelAchiutlaMixtec	San Miguel Achiutla	Mixtec	17.3065	-97.48886	sanm1292	xtm
4	SantaCatarinaAdequezMixtec	Santa Catarina Adequez	Mixtec	17.43688	-97.14695		
5	SanMiguelAhuehuetitlanMixtec	San Miguel Ahuehuetitlán	Mixtec	17.67151	-98.32045	sila1250	mks
6	AlacatlatzalaMixtec_A	Alacatlatzala	Mixtec	17.25	-98.58	alac1244	mim
7	AlacatlatzalaMixtec_B	Alacatlatzala	Mixtec	17.25	-98.58	alac1244	mim
8	AlacatlatzalaMixtec_C	Alacatlatzala	Mixtec	17.25	-98.58	alac1244	mim
9	AlcozaucaGuerreroMixtec	Alcozáuca de Guerrero	Mixtec	17.3687	-98.3969	alco1235	xta
10	SanMiguelAmatitlanMixtec	San Miguel Amatitlán	Mixtec	17.89179	-98.02529		
11	SantiagoAmoltepecMixtec	Santiago Amoltepec	Mixtec	16.6521	-97.4518	amol1236	mbz
12	SanCristobalAmoltepecMixtec	San Cristóbal Amoltepec	Mixtec	17.28458	-97.5706	sanc1244	xtm
13	SantaMariaApazcoMixtec	Santa María Apazco	Mixtec	17.6143	-97.0657	apas1235	mip
14	SantiagoApoalaMixtec	Santiago Apoala	Mixtec	17.6143	-97.0657	apas1235	mip
15	SantaMariaAsuncionMixtec	Santa María Asunción	Mixtec	17.2435	-98.0001		
16	SanEstebanAtatlahucaMixtec_A	San Esteban Atatlahuca	Mixtec	17.07133	-97.67753	atat1238	mib
17	SanEstebanAtatlahucaMixtec_B	San Esteban Atatlahuca	Mixtec	17.07133	-97.67753	atat1238	mib
18	SanAgustinAtenangoMixtec	San Agustín Atenango	Mixtec	17.61188	-98.01527		
19	AtlamajalcingoMonteMixtec	Atlamajalcingo del Monte	Mixtec	17.31173	-98.60758	atla1271	mim
20	SanPedroAtoyacMixtec	San Pedro Atoyac	Mixtec	16.48865	-97.9864		
21	AyutlalosLibresMixtec_A	Ayutla de los Libres	Mixtec	16.8833	-98.9916	ayut1236	miy
22	AyutlalosLibresMixtec_B	Ayutla de los Libres	Mixtec	16.8833	-98.9916	ayut1236	miy
23	LaBateaMixtec	La Batea	Mixtec	17.35948	-97.83233	mixt1425	mix
24	SantaCruzBravoMixtec	Santa Cruz de Bravo	Mixtec	17.58093	-98.22383		
25	SantiagoCacaloxtepecMixtec	Santiago Cacaloxtepec	Mixtec	17.7248	-97.7637	caca1250	miu
26	CahuatacheMixtec	Cahuatache	Mixtec	17.41506	-98.53192	alac1244	mim
