Grapheme	IPA	Class	Status	Comments
d	ð	consonant	rare	
f	f	consonant	loan	
g	g	consonant	loan	
k	k	consonant		
kw	kʷ	consonant		
l	l	consonant	rare	
m	m	consonant	rare	
mb	ᵐb	consonant	loan	
n	n	consonant		
nd	ⁿd	consonant		prenasalized stop
nj	ⁿd͡ʒ	consonant	rare	prenasalized stop
ñ	ɲ	consonant		
ng	ᵑg	consonant	rare	prenasalized stop
p	p	consonant	rare	
rr	r	consonant	loan	
r	ɾ	consonant	loan	
s	s	consonant		
sh	ʃ	consonant		
t	t	consonant		
ch	t͡ʃ	consonant		
x	x	consonant		
y	ʒ	consonant		
h	ʔ	consonant		
v	β	consonant		
a	a1	vowel and tone		
an	ã1	vowel and tone		
aan	ã1ã1	vowel and tone		
aān	ã1ã3	vowel and tone		
aán	ã1ã5	vowel and tone		
ā	a3	vowel and tone		
ān	ã3	vowel and tone		
āan	ã3ã1	vowel and tone		
āān	ã3ã3	vowel and tone		
āán	ã3ã5	vowel and tone		
á	a5	vowel and tone		
án	ã5	vowel and tone		
áan	ã5ã1	vowel and tone		
áān	ã5ã3	vowel and tone		
áán	ã5ã5	vowel and tone		
e	e1	vowel and tone		
en	ẽ1	vowel and tone		
een	ẽ1ẽ1	vowel and tone		
eēn	ẽ1ẽ3	vowel and tone		
eén	ẽ1ẽ5	vowel and tone		
ē	e3	vowel and tone		
ēn	ẽ3	vowel and tone		
ēen	ẽ3ẽ1	vowel and tone		
ēēn	ẽ3ẽ3	vowel and tone		
ēén	ẽ3ẽ5	vowel and tone		
é	e5	vowel and tone		
én	ẽ5	vowel and tone		
éen	ẽ5ẽ1	vowel and tone		
éēn	ẽ5ẽ3	vowel and tone		
één	ẽ5ẽ5	vowel and tone		
i	i1	vowel and tone		
in	ĩ1	vowel and tone		
iin	ĩ1ĩ1	vowel and tone		
iīn	ĩ1ĩ3	vowel and tone		
iín	ĩ1ĩ5	vowel and tone		
ī	i3	vowel and tone		
īn	ĩ3	vowel and tone		
īin	ĩ3ĩ1	vowel and tone		
īīn	ĩ3ĩ3	vowel and tone		
īín	ĩ3ĩ5	vowel and tone		
í	i5	vowel and tone		
ín	ĩ5	vowel and tone		
íin	ĩ5ĩ1	vowel and tone		
íīn	ĩ5ĩ3	vowel and tone		
íín	ĩ5ĩ5	vowel and tone		
o	o1	vowel and tone		
on	õ1	vowel and tone		
oon	õ1õ1	vowel and tone		
oōn	õ1õ3	vowel and tone		
oón	õ1õ5	vowel and tone		
ō	o3	vowel and tone		
ōn	õ3	vowel and tone		
ōon	õ3õ1	vowel and tone		
ōōn	õ3õ3	vowel and tone		
ōón	õ3õ5	vowel and tone		
ó	o5	vowel and tone		
ón	õ5	vowel and tone		
óon	õ5õ1	vowel and tone		
óōn	õ5õ3	vowel and tone		
óón	õ5õ5	vowel and tone		
u	u1	vowel and tone		
un	ũ1	vowel and tone		
uun	ũ1ũ1	vowel and tone		
uūn	ũ1ũ3	vowel and tone		
uún	ũ1ũ5	vowel and tone		
ū	u3	vowel and tone		
ūn	ũ3	vowel and tone		
ūun	ũ3ũ1	vowel and tone		
ūūn	ũ3ũ3	vowel and tone		
ūún	ũ3ũ5	vowel and tone		
ú	u5	vowel and tone		
ún	ũ5	vowel and tone		
úun	ũ5ũ1	vowel and tone		
úūn	ũ5ũ3	vowel and tone		
úún	ũ5ũ5	vowel and tone		
