ID	DOCULECT	GLOSS	VALUE	FORM	IDlist	NOTES	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6361	coic11	hijo/hija	sèʔe	sèʔe	5	NA	NA	NA	josserand1983mixtec	NA
6482	coic11	hermano de hombre	ña̧ni̧	ña̧ni̧	9	NA	NA	NA	josserand1983mixtec	NA
6594	coic11	hombre	tʸàa	tʸàa	13	NA	NA	NA	josserand1983mixtec	NA
6720	coic11	dueño	ma̧ʔna̧	ma̧ʔna̧	15	NA	NA	NA	josserand1983mixtec	NA
6806	coic11	sacerdote	sùtù	sùtù	16	NA	NA	NA	josserand1983mixtec	NA
6895	coic11	sangre	nì̧í̧	nì̧í̧	17	NA	NA	NA	josserand1983mixtec	NA
7012	coic11	diente	nù̧ʔú̧	nù̧ʔú̧	22	NA	NA	NA	josserand1983mixtec	NA
7100	coic11	boca	yuʔu	yuʔu	23	NA	NA	NA	josserand1983mixtec	NA
7196	coic11	oreja	sòʔó	sòʔó	24	NA	NA	NA	josserand1983mixtec	NA
7313	coic11	nariz	šìtí̧	šìtí̧	25	NA	NA	NA	josserand1983mixtec	NA
7429	coic11	cuello	sùkú̧	sùkú̧	26	NA	NA	NA	josserand1983mixtec	NA
7543	coic11	uña	či̧i̧	či̧i̧	28	NA	NA	NA	josserand1983mixtec	NA
7661	coic11	tripas	siti	siti	31	NA	NA	NA	josserand1983mixtec	NA
7781	coic11	pie	šàʔá	šàʔá	32	NA	NA	NA	josserand1983mixtec	NA
7897	coic11	enfermedad	kʷeʔe	kʷeʔe	33	NA	NA	NA	josserand1983mixtec	NA
8012	coic11	hinchazón	kʷi̧ñu̧	kʷi̧ñu̧	35	NA	NA	NA	josserand1983mixtec	NA
8107	coic11	grano	ⁿdìʔī	ⁿdìʔī	36	NA	NA	NA	josserand1983mixtec	NA
8220	coic11	pus	ⁿdākʷà	ⁿdākʷà	37	NA	NA	NA	josserand1983mixtec	NA
8399	coic11	huarache	ⁿdìšà̧	ⁿdìšà̧	40	NA	NA	NA	josserand1983mixtec	NA
8510	coic11	calzón, pantalón	šatu	šatu	41	NA	NA	NA	josserand1983mixtec	NA
8588	coic11	huipil	šìku̧	šìku̧	42	NA	NA	NA	josserand1983mixtec	NA
